name,latitude,longitude,type,category,rating,ratings_count,description,image_urls,source,distance_to_user,distance_to_segment,predicted_relevant,relevant
Temple of Tooth,9.7937885,80.2209773,temple,Cultural,4.8,0,"The Temple of the Sacred Tooth Relic is a Buddhist temple in Kandy, Sri Lanka. It is considered one of the most sacred places in the Buddhist world.","['https://cdn.pixabay.com/photo/2015/08/20/17/45/sri-lanka-897819_960_720.jpg', 'https://cdn.pixabay.com/photo/2014/03/06/20/31/temple-of-the-tooth-281135_640.jpg', 'https://cdn.pixabay.com/photo/2013/11/03/11/58/temple-204803_960_720.jpg', 'https://cdn.pixabay.com/photo/2017/03/01/05/50/sri-lanka-2107620_960_720.jpg']",database,321.21082061113634,290.66035865145983,0,0
Colombo Lotus Tower,6.927173943255416,79.85832407144919,Tower,Cultural,4.8,0,"Adding a new experience to the Sri Lankan landscape, the tallest self-supported structure in South Asia and the tallest skyscraper in the country, the Lotus Tower is the ultimate culmination of ingenuity and innovation. Rising towards Colombo’s skyline the Nelum Kuluna is an iconic landmark that reflects the spirit of a nation. Her resilience and her strength.","['https://cdn.pixabay.com/photo/2022/07/11/08/44/tower-7314495_960_720.jpg', 'https://cdn.pixabay.com/photo/2022/07/11/08/44/tower-7314497_1280.jpg', 'https://images.unsplash.com/photo-1546656495-fc838de15e5c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D', 'https://images.unsplash.com/photo-1641482646821-4aa9e115bc1c?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D']",database,0.3223756161421824,0.2622676207427123,1,1
Nuwara Eliya Mountains View point,6.983454699999999,80.7504763,attraction,tourist_attraction,4.3,47,"XQM2+95Q, Nuwara Eliya",[],google,98.35068758937511,93.38479580567832,0,0
Dematamal Viharaya| දෙමටමල් විහාරය,6.7539904,81.2880131,attraction,tourist_attraction,4.8,525,B522,[],google,158.69180590450185,155.12592907062054,0,0
Tunnel NO 18/ Pattipola Tunnel [Up Country Line],6.8426174,80.83722120000002,attraction,tourist_attraction,4.8,21,"RRVP+2VX, Pattipola",[],google,108.14994232036692,104.39996299898075,0,0
Moon Plains,6.9523269,80.79640409999999,attraction,tourist_attraction,4.5,2682,"Ranhawadigama Road, Nuwara Eliya",[],google,103.26165666609138,98.57740907352466,0,0
Upper Diyaluma Waterfall,6.734827800000001,81.03244720000001,attraction,tourist_attraction,4.8,819,"Colombo - Batticaloa Highway, Uva-Gampaha",[],google,131.06274060759128,127.91027188173092,0,0
Diyawatanalla Waterfall,6.849332000000001,80.8589566,attraction,tourist_attraction,3.1,8,"RVX5+PHP, Gatalagamuwa - Alawathugoda Road, Alawathugoda",[],google,110.47880907946067,106.64844693119633,0,0
St. Francis Xavier's Church,6.9773709,80.7649881,attraction,tourist_attraction,4.7,194,"2016 Bandaranaike Mawatha, Nuwara Eliya",[],google,99.90974611785428,95.00143668113944,0,0
Auslink Hotel Walapane Sri Lanka,7.095043299999999,80.86279139999999,attraction,tourist_attraction,3.9,248,"47 Walapane - Nildandahinna Road, Walapane",[],google,112.10125121348203,106.2911951560159,0,0
